Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2019,YR2019,..,..,2.704,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.414,..,..,..,..,..,0.1,..,..,0,5521606
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2020,YR2020,..,..,2.732,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.439,..,..,..,..,..,0.1,..,..,0,5529543
Food Prices for Nutrition 2.0,FPN 2.0,Finland,FIN,2021,YR2021,..,..,2.716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.425,..,..,..,..,..,0,..,..,0,5541017
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2017,YR2017,0.315,1.874,2.936,9.32,0.859,0.848,0.246,0.64,0.277,0.066,0.293,0.289,0.084,0.218,0.094,0.022,3.49,3.45,2.6,1.13,0.27,0.281,1.673,2.621,0.04,0.238,0.373,0,0,0.1,0,0,0,66918020
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2018,YR2018,..,..,3.019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.696,..,..,..,..,..,0.1,..,..,0.1,67158348
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2019,YR2019,..,..,3.177,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.837,..,..,..,..,..,0.3,..,..,0.2,67388001
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2020,YR2020,..,..,3.238,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.891,..,..,..,..,..,0.3,..,..,0.2,67571107
Food Prices for Nutrition 2.0,FPN 2.0,France,FRA,2021,YR2021,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.905,..,..,..,..,..,0.2,..,..,0.1,67749632
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2017,YR2017,0.956,2.57,3.358,3.51,0.568,1.174,0.553,0.735,0.221,0.106,0.169,0.35,0.165,0.219,0.066,0.032,1.03,2.12,1.33,0.4,0.19,0.854,2.295,2.998,0.22,0.592,0.773,1.3,16.3,28.5,0,0.3,0.6,2140215
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2018,YR2018,..,..,3.403,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.038,..,..,..,..,..,28.6,..,..,0.6,2192012
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2019,YR2019,..,..,3.485,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.112,..,..,..,..,..,28.4,..,..,0.6,2242785
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2020,YR2020,..,..,3.553,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.172,..,..,..,..,..,29.9,..,..,0.7,2292573
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,GAB,2021,YR2021,..,..,3.704,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.307,..,..,..,..,..,29.9,..,..,0.7,2341179
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2017,YR2017,0.983,2.529,2.942,2.99,0.659,0.897,0.49,0.589,0.141,0.165,0.224,0.305,0.167,0.2,0.048,0.056,1.34,1.83,1.2,0.29,0.34,0.878,2.258,2.627,0.39,1.003,1.167,10.6,63.9,72.6,0.3,1.5,1.7,2381182
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2018,YR2018,..,..,3.008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.686,..,..,..,..,..,70.8,..,..,1.7,2444916
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2019,YR2019,..,..,3.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.727,..,..,..,..,..,69.6,..,..,1.7,2508883
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2020,YR2020,..,..,3.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.777,..,..,..,..,..,71.8,..,..,1.8,2573995
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",GMB,2021,YR2021,..,..,3.324,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.968,..,..,..,..,..,72.2,..,..,1.9,2639916
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2017,YR2017,0.262,2.224,2.786,10.63,0.714,0.816,0.235,0.666,0.301,0.052,0.256,0.293,0.084,0.239,0.108,0.019,3.04,3.47,2.83,1.28,0.22,0.234,1.986,2.488,0.036,0.307,0.384,0.2,0.7,0.7,0.2,0.6,0.6,82657002
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2018,YR2018,..,..,2.917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.604,..,..,..,..,..,0.2,..,..,0.2,82905782
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2019,YR2019,..,..,2.984,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.664,..,..,..,..,..,0.2,..,..,0.2,83092962
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2020,YR2020,..,..,3.038,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.713,..,..,..,..,..,0.2,..,..,0.2,83160871
Food Prices for Nutrition 2.0,FPN 2.0,Germany,DEU,2021,YR2021,..,..,3.082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.752,..,..,..,..,..,0.2,..,..,0.2,83196078
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2017,YR2017,0.824,2.516,3.767,4.57,0.395,1.263,0.552,1.235,0.172,0.15,0.105,0.335,0.147,0.328,0.046,0.04,0.72,2.29,2.24,0.31,0.27,0.736,2.246,3.363,0.501,1.528,2.288,14.9,62.9,80,4.5,19,24.2,30222262
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2018,YR2018,..,..,3.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.446,..,..,..,..,..,78.6,..,..,24.3,30870641
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2019,YR2019,..,..,3.942,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.52,..,..,..,..,..,77,..,..,24.3,31522290
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2020,YR2020,..,..,4.036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.604,..,..,..,..,..,78.1,..,..,25.1,32180401
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,GHA,2021,YR2021,..,..,4.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.783,..,..,..,..,..,77.4,..,..,25.4,32833031
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2017,YR2017,0.672,2.557,3.037,4.52,0.581,0.742,0.41,0.797,0.41,0.096,0.191,0.244,0.135,0.262,0.135,0.032,1.42,1.81,1.94,1,0.23,0.6,2.283,2.712,0.076,0.291,0.345,0.5,2.5,3.8,0.1,0.3,0.4,10754679
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2018,YR2018,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.77,..,..,..,..,..,2.1,..,..,0.2,10732882
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2019,YR2019,..,..,3.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.828,..,..,..,..,..,2.9,..,..,0.3,10721582
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2020,YR2020,..,..,3.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.804,..,..,..,..,..,2.7,..,..,0.3,10698599
Food Prices for Nutrition 2.0,FPN 2.0,Greece,GRC,2021,YR2021,..,..,3.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.834,..,..,..,..,..,2.2,..,..,0.2,10641221
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2017,YR2017,1.328,3.767,5.382,4.05,1.207,1.189,0.781,1.335,0.69,0.18,0.224,0.221,0.145,0.248,0.128,0.033,1.55,1.52,1.71,0.88,0.23,1.186,3.363,4.805,0.165,0.469,0.67,..,..,..,..,..,..,120921
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2018,YR2018,..,..,5.536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.943,..,..,..,..,..,..,..,..,..,121838
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2019,YR2019,..,..,5.625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.022,..,..,..,..,..,..,..,..,..,122724
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2020,YR2020,..,..,5.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.175,..,..,..,..,..,..,..,..,..,123663
Food Prices for Nutrition 2.0,FPN 2.0,Grenada,GRD,2021,YR2021,..,..,6.097,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.444,..,..,..,..,..,..,..,..,..,124610
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2017,YR2017,0.904,2.215,3.655,4.04,0.453,1.781,0.495,0.559,0.188,0.179,0.124,0.487,0.135,0.153,0.051,0.049,0.92,3.6,1.13,0.38,0.36,0.807,1.978,3.263,0.246,0.603,0.995,8.6,61.6,88.5,1.1,7.5,10.8,12240789
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2018,YR2018,..,..,3.863,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.449,..,..,..,..,..,89,..,..,11.2,12554864
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2019,YR2019,..,..,4.001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.572,..,..,..,..,..,88.8,..,..,11.4,12877539
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2020,YR2020,..,..,4.127,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.685,..,..,..,..,..,88.7,..,..,11.7,13205153
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,GIN,2021,YR2021,..,..,4.443,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.967,..,..,..,..,..,89.1,..,..,12.1,13531906
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2017,YR2017,0.925,1.857,3.164,3.42,0.528,1.277,0.576,0.569,0.069,0.146,0.167,0.404,0.182,0.18,0.022,0.046,0.92,2.22,0.99,0.12,0.25,0.826,1.658,2.825,0.261,0.524,0.893,18.3,59.7,84.4,0.3,1.1,1.6,1879826
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2018,YR2018,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.905,..,..,..,..,..,84.9,..,..,1.6,1924955
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2019,YR2019,..,..,3.335,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.978,..,..,..,..,..,82.9,..,..,1.6,1970457
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2020,YR2020,..,..,3.434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.066,..,..,..,..,..,83.9,..,..,1.7,2015828
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,GNB,2021,YR2021,..,..,3.694,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.298,..,..,..,..,..,84.6,..,..,1.7,2060721
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2017,YR2017,0.727,3.606,4.629,6.37,1.282,1.117,0.509,0.922,0.666,0.132,0.277,0.241,0.11,0.199,0.144,0.029,2.52,2.19,1.81,1.31,0.26,0.649,3.22,4.133,0.185,0.918,1.179,4.4,31.7,45,0,0.2,0.3,763252
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2018,YR2018,..,..,4.742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.234,..,..,..,..,..,44.5,..,..,0.3,785514
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2019,YR2019,..,..,4.828,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.311,..,..,..,..,..,42,..,..,0.3,798753
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2020,YR2020,..,..,4.887,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.363,..,..,..,..,..,24.9,..,..,0.2,797202
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2021,YR2021,..,..,5.117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.569,..,..,..,..,..,18.5,..,..,0.1,804567
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2017,YR2017,1.095,2.929,3.93,3.59,0.377,0.845,0.646,1.583,0.35,0.128,0.096,0.215,0.164,0.403,0.089,0.033,0.58,1.31,2.45,0.54,0.2,0.978,2.615,3.509,0.411,1.1,1.476,23.5,73.8,84.7,2.6,8,9.2,10863543
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2018,YR2018,..,..,4.075,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.638,..,..,..,..,..,84.7,..,..,9.3,11012421
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2019,YR2019,..,..,4.275,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.817,..,..,..,..,..,86.9,..,..,9.7,11160438
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2020,YR2020,..,..,4.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.009,..,..,..,..,..,88.9,..,..,10.1,11306801
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2021,YR2021,..,..,4.814,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.298,..,..,..,..,..,92.6,..,..,10.6,11447569
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2017,YR2017,0.712,2.411,3.152,1.30734135213604,0.688,0.803,0.455,0.753,0.352,0.102,0.218,0.255,0.144,0.239,0.112,0.032,1.51,1.76,1.65,0.77,0.22,0.636,2.152,2.814,0.106,0.351,0.455,0.6,1.2,1.9,7.3,14,21.4,1219259590
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2018,YR2018,..,..,3.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.866,..,..,..,..,..,1.7,..,..,18.9,1201464351
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2019,YR2019,..,..,3.294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.941,..,..,..,..,..,1.5,..,..,17.4,1206619363
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2020,YR2020,..,..,3.363,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.002,..,..,..,..,..,1.5,..,..,17.6,1211551557
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2021,YR2021,..,..,3.432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.064,..,..,..,..,..,1.3,..,..,14.3,1211377891
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2017,YR2017,1.146,3.472,3.36,2.93,0.484,0.68,0.637,1.083,0.229,0.248,0.144,0.202,0.19,0.322,0.068,0.074,0.76,1.07,1.7,0.36,0.39,1.023,3.1,3,0.326,0.988,0.956,14.3,49.9,48.5,1.4,4.8,4.7,9626842
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2018,YR2018,..,..,3.415,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.049,..,..,..,..,..,48,..,..,4.7,9792850
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2019,YR2019,..,..,3.404,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.039,..,..,..,..,..,46.5,..,..,4.6,9958829
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2020,YR2020,..,..,3.486,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.113,..,..,..,..,..,49.7,..,..,5,10121763
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2021,YR2021,..,..,3.595,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.21,..,..,..,..,..,44.8,..,..,4.6,10278345
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2017,YR2017,0.908,2.316,3.659,4.03,0.675,0.742,0.745,1.034,0.304,0.16,0.184,0.203,0.204,0.283,0.083,0.044,0.91,1,1.39,0.41,0.21,0.811,2.068,3.267,0.08,0.203,0.321,..,..,..,..,..,..,7393200
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2018,YR2018,..,..,3.819,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.41,..,..,..,..,..,..,..,..,..,7452600
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2019,YR2019,..,..,4.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.703,..,..,..,..,..,..,..,..,..,7507900
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2020,YR2020,..,..,4.513,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.029,..,..,..,..,..,..,..,..,..,7481000
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2021,YR2021,..,..,4.718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.213,..,..,..,..,..,..,..,..,..,7413100
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2017,YR2017,0.434,2.258,3.302,7.61,0.828,0.754,0.407,0.805,0.42,0.089,0.251,0.228,0.123,0.244,0.127,0.027,2.03,1.85,1.98,1.03,0.22,0.388,2.016,2.948,0.065,0.336,0.491,0.3,1.9,3.7,0,0.2,0.4,9787966
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2018,YR2018,..,..,3.383,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.021,..,..,..,..,..,2.4,..,..,0.2,9775564
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2019,YR2019,..,..,3.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.116,..,..,..,..,..,2.2,..,..,0.2,9771141
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2020,YR2020,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.131,..,..,..,..,..,2,..,..,0.2,9750149
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2021,YR2021,..,..,3.418,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.052,..,..,..,..,..,1.5,..,..,0.1,9709891
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2017,YR2017,0.378,2.422,2.213,5.85,0.484,0.525,0.277,0.596,0.277,0.055,0.219,0.237,0.125,0.269,0.125,0.025,1.75,1.9,2.15,1,0.2,0.338,2.163,1.976,0.042,0.271,0.247,0,0,0,0,0,0,343400
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2018,YR2018,..,..,2.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.006,..,..,..,..,..,0,..,..,0,352721
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2019,YR2019,..,..,2.314,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.066,..,..,..,..,..,0,..,..,0,360563
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2020,YR2020,..,..,2.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.161,..,..,..,..,..,0,..,..,0,366463
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2021,YR2021,..,..,2.416,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.157,..,..,..,..,..,0.1,..,..,0,372520
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2017,YR2017,0.789,2.125,2.824,3.58,0.504,0.588,0.407,0.892,0.292,0.142,0.178,0.208,0.144,0.316,0.103,0.05,1.24,1.44,2.19,0.72,0.35,0.704,1.897,2.521,0.274,0.737,0.979,3.2,64,78.8,43.4,866.2,1066.8,1354195680
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2018,YR2018,..,..,2.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.527,..,..,..,..,..,73.2,..,..,1001.9,1369003306
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2019,YR2019,..,..,2.877,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.569,..,..,..,..,..,71.4,..,..,986.9,1383112050
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2020,YR2020,..,..,2.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.652,..,..,..,..,..,76.2,..,..,1064,1396387127
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2021,YR2021,..,..,3.066,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.738,..,..,..,..,..,74.1,..,..,1043,1407563842
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2017,YR2017,1.021,2.664,4.129,4.04,0.792,1.16,0.69,0.929,0.429,0.13,0.192,0.281,0.167,0.225,0.104,0.031,1.15,1.68,1.35,0.62,0.19,0.912,2.379,3.687,0.209,0.545,0.844,4.3,7,72.8,11.4,130.8,192.5,264498852
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2018,YR2018,..,..,4.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.815,..,..,..,..,..,71,..,..,189.6,267066843
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2019,YR2019,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.811,..,..,..,..,..,69.5,..,..,187.4,269582878
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2020,YR2020,..,..,4.466,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.988,..,..,..,..,..,70.2,..,..,190.8,271857970
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2021,YR2021,..,..,4.729,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.222,..,..,..,..,..,70.8,..,..,193.8,273753191
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2017,YR2017,0.871,2.009,3.005,3.45,0.627,0.49,0.444,0.704,0.575,0.165,0.209,0.163,0.148,0.234,0.191,0.055,1.41,1.1,1.59,1.3,0.37,0.778,1.794,2.683,0.218,0.503,0.753,0.2,5,14.4,0.1,4.3,12.2,84505076
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2018,YR2018,..,..,3.212,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.868,..,..,..,..,..,16.6,..,..,14.3,85617562
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2019,YR2019,..,..,3.642,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.252,..,..,..,..,..,25.7,..,..,22.2,86564202
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2020,YR2020,..,..,3.605,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.219,..,..,..,..,..,25.5,..,..,22.3,87290193
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2021,YR2021,..,..,4.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.721,..,..,..,..,..,30,..,..,26.4,87923432
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2017,YR2017,1.165,2.505,3.378,2.9,0.654,0.667,0.639,0.999,0.285,0.133,0.194,0.197,0.189,0.296,0.084,0.039,1.02,1.04,1.56,0.45,0.21,1.04,2.237,3.016,0.25,0.538,0.726,0.1,5.8,16.8,0,2.3,6.7,39621162
